PubNum,PubDate,PubMainClass,PubSubClass,PubNumClaims
US04154160,1979-05-15,100,47,8
US04154159,1979-05-15,100,34,10
US04154158,1979-05-15,100,2,19
US04152979,1979-05-08,100,344,15
US04152978,1979-05-08,100,35,8
US04151795,1979-05-01,100,117,22
US04151794,1979-05-01,100,74,13
US04151793,1979-05-01,100,26,14
US04150618,1979-04-24,100,257,16
US04150617,1979-04-24,100,117,8
US04150616,1979-04-24,100,35,11
US04150615,1979-04-24,100,7,5
US04150614,1979-04-24,100,5,6
US04150613,1979-04-24,100,3,5
US04150612,1979-04-24,100,2,9
US04149457,1979-04-17,100,98R,13
US04148255,1979-04-10,100,247,10
US04148254,1979-04-10,100,179,11
US04148253,1979-04-10,100,97,1
US04147102,1979-04-03,100,257,10
US04147101,1979-04-03,100,118,1
US04147100,1979-04-03,100,48,17
US04145965,1979-03-27,100,176,8
US04145964,1979-03-27,100,40,3
US04145963,1979-03-27,100,4,21
US04144807,1979-03-20,100,118,22
US04144806,1979-03-20,100,100,4
US04143595,1979-03-13,100,280,5
US04143594,1979-03-13,100,7,11
US04142461,1979-03-06,100,118,18
US04141289,1979-02-27,100,212,1
US04141288,1979-02-27,100,35,43
US04140052,1979-02-20,100,233,10
US04140051,1979-02-20,100,116,11
US04140050,1979-02-20,100,38,4
US04137840,1979-02-06,100,209,4
US04137788,1979-02-06,100,4,11
US04136610,1979-01-30,100,100,18
US04136609,1979-01-30,100,51,4
US04135446,1979-01-23,100,257,8
US04135445,1979-01-23,100,179,11
US04135444,1979-01-23,100,50,8
US04134335,1979-01-16,100,98R,3
US04134334,1979-01-16,100,48,7
US04133261,1979-01-09,100,280,3
US04133260,1979-01-09,100,257,3
US04133259,1979-01-09,100,43,10
US04133258,1979-01-09,100,5,17
US04132164,1979-01-02,100,189,17
US04132163,1979-01-02,100,42,8
US04241654,1980-12-30,100,189,12
US04241653,1980-12-30,100,100,12
US04241652,1980-12-30,100,49,8
US04241651,1980-12-30,100,35,30
US04240342,1980-12-23,100,341,8
US04240341,1980-12-23,100,49,10
US04240340,1980-12-23,100,7,4
US04240339,1980-12-23,100,5,33
US04238998,1980-12-16,100,41,22
US04237783,1980-12-09,100,34,6
US04237581,1980-12-09,100,37,25
US04236445,1980-12-02,100,118,7
US04236444,1980-12-02,100,65,10
US04235166,1980-11-25,100,158R,10
US04235165,1980-11-25,100,345,7
US04235164,1980-11-25,100,345,10
US04233893,1980-11-18,100,301,10
US04232600,1980-11-11,100,37,24
US04232599,1980-11-11,100,25,14
US04230037,1980-10-28,100,95,10
US04230036,1980-10-28,100,35,4
US04230035,1980-10-28,100,2,5
US04228734,1980-10-21,100,245,6
US04228733,1980-10-21,100,4,14
US04227451,1980-10-14,100,295,7
US04227450,1980-10-14,100,214,10
US04227449,1980-10-14,100,98R,3
US04224867,1980-09-30,100,88,7
US04224866,1980-09-30,100,40,4
US04223601,1980-09-23,100,117,6
US04223600,1980-09-23,100,37,7
US04222324,1980-09-16,100,47,7
US04222323,1980-09-16,100,12,10
US04218970,1980-08-26,100,153,1
US04218969,1980-08-26,100,32,2
US04216713,1980-08-12,100,209,24
US04214519,1980-07-29,100,37,6
US04213387,1980-07-22,100,245,10
US04213386,1980-07-22,100,98R,5
US04213385,1980-07-22,100,95,5
US04213384,1980-07-22,100,74,14
US04212242,1980-07-15,100,233,9
US04212241,1980-07-15,100,116,38
US04212240,1980-07-15,100,347,23
